,SKU,NAME,RRP 
,,THE BRASS GYM EUPHONIUM BC BK/CD,$177.00
,M050063599,YASUHIDE - FANTASY VARIATIONS EUPHONIUM/PIANO,$45.95
,TEP10873,STEVENS - SOLILOQUIES UNACCOMPANIED EUPHONIUM,$77.95
,WR012,120 HYMNS FOR BRASS BAND EUPHONIUM PART,$29.95
,253803H,GRAHAM - HOLY WELL FOR EUPHONIUM/PIANO,$102.00
,3126TC,BOURGEOIS - FANTASY PIECES FOR EUPHONIUM TC,$37.95
,DHP1002382-404,VIZZUTTI - 20 DANCES FOR EUPHONIUM BC BK/OLA ED MEAD,$58.95
,EMR22450M,PIAZZOLLA - OBLIVION FOR EUPHONIUM/PIANO ARR MOREN,$38.95
,AMP536-401,SPARKE - OMAGGIO EUPHONIUM CONCERTO NO 4 EUPHONIUM/PIANO,$81.95
,BIMTU168,TURRIN - CONCERT PIECE NO 1 EUPHONIUM/PIANO,$99.95
,9.78E+12,THE BRASS GYM EUPHONIUM TC BK/CD,$177.00
,NOV100467,MEALOR - A WELSH PRAYER EUPHONIUM/PIANO,$27.95
,NOV100478,GREGSON - CONCERTO FOR EUPHONIUM/PIANO,$55.95
,AMP497-401,SPARKE - DREAMSONG FOR EUPHONIUM/PIANO,$53.95
,AMP504-401,SPARKE - THE GREEN HILLS OF TYROL FOR EUPHONIUM/PIANO,$49.95
,AMP514-401,SPARKE - PULCINELLA FOR EUPHONIUM/PIANO,$65.95
,ASTAM105-14,SCOTT - FUJIKO FOR EUPHONIUM/PIANO,$48.95
,BIMTU115A,STEVENS - EUPHONIUM CONCERTO,$128.00
,BIMTU195,FORBES - POLAR VORTEX FOR UNACCOMPANIED EUPHONIUM,$67.95
,BIMTU94A,FILAS - CONCERTO FOR EUPHONIUM & PIANO,$116.00
,BIMTU95A,SZENTPALI - PEARLS FOR EUPHONIUM/PIANO,$112.00
,BMI17020613,PALLHUBER - BLISS EUPHONIUM/PIANO,$95.95
,BMI22010734,APPERMONT - SONG FOR AN ANGEL FOR EUPHONIUM/PIANO,$35.95
,BMI22010738,APPERMONT - HEROIC HYMN FOR EUPHONIUM/PIANO,$31.95
,CMP0848-03-404,1ST RECITAL SERIES FOR EUPHONIUM BC/TC BL/OLA,$44.95
,RMCOSM04637,COSMA - EUPHONIUM CONCERTO FOR EUPHONIUM/PIANO,$400.00
,DHP0991437-404,MEAD - NEW CONCERT STUDIES VOL 1 EUPHONIUM TC BK/OLA,$58.95
,DHP1002382-400,VIZZUTTI - 20 DANCES FOR EUPHONIUM BC ED MEAD (O/P SUB),$58.95
,DHP1165692-401,PROUST - LITTLE HIPPO EUPHONIUM/PIANO,$35.95
,DHP1165696-401,PROUST - MAJESTIC EUPHONIUM/PIANO,$38.95
,DHP1226442-401,THE ENCHANTED FLUTE FOR EUPHONIUM/PIANO,$31.95
,DHP1236397-401,VAN DER ROOST - SERENATA FOR EUPHONIUM/PIANO,$60.95
,DHP1236501-401,YAGISAWA - EUPHONIUM CONCERTO FOR EUPHONIUM/PIANO,$72.95
,WARWEU022,THORNE - MIXED BAG FOR EUPHONIUM/PIANO,$64.95
,WARWEU023,DERBYSHIRE - 9 CHARACTERFUL PIECES FOR EUPHONIUM BC/PIANO,$94.95
,WARWEU024,DERBYSHIRE - 9 CHARACTERFUL PIECES FOR EUPHONIUM TC/PIANO,$94.95
,HBU158149,WILHELM - CONCERTINO FOR EUPHONIUM/PIANO,$73.95
,HFB284PN,BOURGEOIS - CONCERT PRELUDE FOR EUPHONIUM/PIANO,$115.00
,WM0248PNO,DOWNIE - CONCERTO FOR EUPHONIUM/PIANO,$156.00
,SDP112-21,SCHWARZ - PLAYING WITH CONCERT BAND V1 EUPHONIUM BC BK/OLA,$76.95
,SDP113-21,SCHWARZ - PLAYING WITH CONCERT BAND V1 EUPHONIUM TC BK/OLA,$76.95
,SDP136-22,SCHWARZ - PICTURES OF VIENNA EUPHONIUM TC BK/OLA,$76.95
,SDP137-22,SCHWARZ - PICTURES OF VIENNA EUPHONIUM BC BK/OLA,$76.95
,SDP208-23,SAMITZ - THE JOY OF FREEDOM FOR EUPHONIUM/PIANO,$76.95
,SDP219-23,SAMITZ - WALKING WITH YOU FOR EUPHONIUM/PIANO,$76.95
,SDP224-23,GLENN VAN LOOY - 5 CONCERT PIECES FOR EUPHONIUM/PIANO,$87.95
,SDP261-23,SAMITZ - PEACE FOR EUPHONIUM/ORGAN (PIANO),$76.95
,WM0208,MOZART - ADAGIO AND RONDO FOR EUPHONIUM/PIANO,$83.95
,XAM126-401,UFO CONCERTO FOR EUPHONIUM (DNU),$110.00
,DHP0991436-400,DUET FOR BARITONE PLAY ALONG BK/CD,$44.95
,2199-20-401M,DOSS - REVERIE FOR EUPHONIUM/PIANO,$58.95
,2236-22-401M,DOSS - SHAMADAN DANCE FOR EUPHONIUM/PIANO,$62.95
,AM124-010,UFO CONCERTO FOR EUPHONIUM CB5,$971.00
,SDP056.21,DOOBIDOO FOR TWO 10 DUETS FOR EUPHONIUM BC,$76.95
,SDP057.21,DOOBIDOO FOR TWO 10 DUETS FOR EUPHONIUM TC,$76.95
,BH2800063,LANGEY - PRACTICAL TUTOR FOR EUPHONIUM TREBLE CLEF,$94.95
,BH15089,JENKINS - EUPHONIUM CONCERTO SOLO EUPHONIUM PART B FLAT TC,$28.95
,BH15090,JENKINS - EUPHONIUM CONCERTO SOLO EUPHONIUM PART BC,$28.95
,BH15091,JENKINS - EUPHONIUM CONCERTO PIANO REDUCTION,$56.95
,50365300,WHITE - LYRIC SUITE FOR EUPHONIUM/PIANO,$45.95
,3774838,WIEDRICH - REVERIE FOR EUPHONIUM/PIANO (POD),$27.95
,M050002908,ROPER - SONATA FOR EUPHONIUM,$32.95
,M050005278,ELLERBY - EUPHONIUM CONCERTO,$39.95
,M-050-00878-1,SPARKE - PARTY PIECE FOR EUPHONIUM/PIANO,$29.95
,10,BUTTERWORTH - PARTITA OP 89 EUPHONIUM/PIANO,$43.95
,EP130,I LOVE THEE (ICH LIEBE DICH) CORNET/PIANO,$12.95
,256203N,NEWTON - SONATA BREVIS EUPHONIUM/PIANO,$151.00
,SPS29633,HEAR MY PRAYER - EUPH/PIANO,$151.00
,255377E,BOURGEOIS - EUPHORIA OP 75 FOR EUPHONIUM/PIANO,$86.95
,SPS56012,GREGSON - SYMPHONIC RHAPSODY EUPHONIUM/PIANO,$101.00
